# time,x,y,yaw,truth_x,truth_y,truth_yaw
9.080000000000000071e+00,2.540056608729033827e-01,1.642685981941957227e-04,1.606836056987625827e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.279999999999999361e+00,2.540056608729033827e-01,1.642685981941957227e-04,1.606836056987625827e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.480000000000000426e+00,2.540056608729033827e-01,1.642685981941957227e-04,1.727436056987625979e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000198e-02
9.679999999999999716e+00,2.540056608729033827e-01,1.642685981941957227e-04,2.129436056987626114e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.200000000000002537e-02
9.880000000000000782e+00,2.540056608729033827e-01,1.642685981941957227e-04,2.531436056987625971e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.200000000000006783e-02
1.008000000000000007e+01,2.141751671303937787e-01,3.954953490359730019e-03,2.410696962260441556e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.320000000000000895e-01
1.027999999999999936e+01,1.594960209776996873e-01,5.615974320995281927e-04,2.497659619384226259e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.720000000000001250e-01
1.048000000000000043e+01,1.458262344395261645e-01,-2.867415824655219657e-04,2.820900283665171981e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.120000000000001328e-01
1.067999999999999972e+01,8.057084525728427926e-02,9.347228615809912572e-03,2.776808472192068278e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.520000000000001683e-01
1.088000000000000078e+01,4.726863025544239538e-02,5.000690563609471069e-03,3.045694642044975420e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.920000000000002593e-01
1.108000000000000007e+01,3.894307650498193135e-02,3.914056050559360476e-03,3.293816184508201461e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.200000000000002842e-01
1.127999999999999936e+01,2.259812624243594248e-02,4.131010811909882272e-03,3.251922786296599921e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.200000000000002842e-01
1.148000000000000043e+01,2.259812624243594248e-02,4.131010811909882272e-03,3.251922786296599921e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.200000000000002842e-01
1.167999999999999972e+01,2.259812624243594248e-02,4.131010811909882272e-03,3.251922786296599921e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.200000000000002842e-01
1.188000000000000078e+01,2.259812624243594248e-02,4.131010811909882272e-03,3.251922786296599921e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.200000000000002842e-01
1.208000000000000007e+01,2.259812624243594248e-02,4.131010811909882272e-03,3.251922786296599921e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.200000000000002842e-01
1.227999999999999936e+01,5.717866258411388736e-02,1.475445958828427127e-02,2.709222786296602292e-01,3.446155405412262840e-02,1.039646068545415324e-02,2.660000000000001807e-01
1.248000000000000043e+01,9.478745414634690003e-02,2.401597632037763552e-02,2.106222786296605143e-01,7.192687598888584943e-02,1.943309543813892537e-02,2.060000000000002107e-01
1.267999999999999972e+01,1.234702250259984424e-01,3.493340709323781990e-02,1.485554115265997899e-01,1.109443050839487299e-01,2.637893992303662338e-02,1.480869565217393102e-01
1.288000000000000078e+01,1.543582027806348900e-01,4.269338986324599378e-02,9.517562919384750519e-02,1.506410597292812681e-01,3.126083164317716018e-02,9.747826086956541680e-02
1.308000000000000007e+01,1.917835455270004708e-01,4.627805242949412090e-02,5.459688490378413611e-02,1.887127874114836457e-01,3.411891211113231293e-02,5.469565217391329781e-02
1.327999999999999936e+01,2.321427865734532470e-01,4.781076013547340409e-02,1.806963227640610153e-02,2.286851980757068636e-01,3.554044254805344832e-02,1.765217391304372760e-02
1.348000000000000043e+01,2.762345698958345031e-01,4.705530267392023930e-02,-1.724241905738399874e-02,2.672289702463856997e-01,3.559723042108801916e-02,-1.417391304347801959e-02
1.367999999999999972e+01,3.167788325068625066e-01,4.665819386208300279e-02,-3.953397997953723986e-02,3.068505007443056987e-01,3.454670555867157822e-02,-3.817391304347802355e-02
1.388000000000000078e+01,3.571158321527630464e-01,4.496343071735038610e-02,-5.533165281877119868e-02,3.468076106930008118e-01,3.270320277406185000e-02,-5.434782608695631206e-02
1.408000000000000007e+01,3.986831052628933558e-01,4.238801387259447107e-02,-7.320030608739835909e-02,3.849116706257270648e-01,3.027617899256231440e-02,-7.260869565217371868e-02
1.427999999999999936e+01,4.371223898901664962e-01,4.027548997850248502e-02,-7.899489533251935480e-02,4.247900890616566061e-01,2.716108321462825173e-02,-7.782608695652155906e-02
1.448000000000000043e+01,4.753415667316931437e-01,3.762241990728502905e-02,-7.126745568727786695e-02,4.632299525692873954e-01,2.431126624633799319e-02,-6.999999999999981237e-02
1.467999999999999972e+01,5.121480442433203883e-01,3.702865969332101714e-02,-6.353861568892872624e-02,5.027797770496980068e-01,2.169501034821333732e-02,-6.217391304347800324e-02
1.488000000000000078e+01,5.523151737035494335e-01,3.411018409416515657e-02,-5.588876783152231520e-02,5.427118077654029538e-01,1.936589966276919261e-02,-5.434782608695626349e-02
1.508000000000000007e+01,5.906422498542295285e-01,3.192051959629552127e-02,-5.069913195412724394e-02,5.808417941434321774e-01,1.737778917606110432e-02,-4.913043478260845781e-02
1.527999999999999936e+01,6.296827844505340499e-01,2.847422444168596495e-02,-4.709330386627309101e-02,6.193469452952613530e-01,1.561688722574219347e-02,-4.339130434782586393e-02
1.548000000000000043e+01,6.696866750040233462e-01,2.529268257474663953e-02,-4.153300497775742894e-02,6.574949120094880639e-01,1.400969467827507808e-02,-4.078260869565195068e-02
1.567999999999999972e+01,7.099071362670893448e-01,2.336437788061457646e-02,-3.817662590780242921e-02,6.971003981313167452e-01,1.244575338438716483e-02,-3.817391304347804437e-02
1.588000000000000078e+01,7.469137636968827820e-01,1.855463738830306908e-02,-3.842244403839506495e-02,7.352562829010557133e-01,1.103903665451214273e-02,-3.556521739130411724e-02
1.607999999999999829e+01,7.840575453799719652e-01,1.529101708631213502e-02,-3.485587463816412768e-02,7.752327977181729945e-01,9.668870349049904847e-03,-3.295652173913023175e-02
1.628000000000000114e+01,8.220169501786993571e-01,1.355676401888454563e-02,-3.199792790913145307e-02,8.137588984486705534e-01,8.447889200679155677e-03,-3.034782608695631503e-02
1.648000000000000043e+01,8.641140143161246678e-01,1.145679559990348852e-02,-4.082879108351244318e-02,8.533701262802289023e-01,7.043876052563857043e-03,-4.182608695652155484e-02
1.667999999999999972e+01,9.033960638625134765e-01,9.461352596101335957e-03,-5.191339632782048658e-02,8.933272748481532188e-01,5.195148468186442867e-03,-5.017391304347806891e-02
1.687999999999999901e+01,9.414871059430025557e-01,7.247378893181496279e-03,-6.045237368652793541e-02,9.314530432128524939e-01,3.128890996958574346e-03,-5.799999999999980171e-02
1.707999999999999829e+01,9.785111565892098406e-01,3.118763568555930725e-03,-6.251288582593231280e-02,9.713804391797271620e-01,7.206116429543001686e-04,-5.747826086956501351e-02
1.728000000000000114e+01,1.015970455748671064e+00,1.651203892463736986e-03,-6.646798777352661003e-02,1.009858001332616162e+00,-1.564714207036266638e-03,-6.321739130434760046e-02
1.748000000000000043e+01,1.055413203350093143e+00,-7.929164340160256563e-04,-6.916089371159361843e-02,1.049410572180506263e+00,-4.140462274020626637e-03,-6.634782608695634354e-02
1.767999999999999972e+01,1.091159095945017476e+00,-4.369999663910216145e-03,-7.068170731518719219e-02,1.087504957131490091e+00,-6.722757672157539041e-03,-6.895652173913036087e-02
1.787999999999999901e+01,1.130278794130694209e+00,-6.731987007964972472e-03,-7.234955516151862775e-02,1.127406254631327931e+00,-9.530879901919248401e-03,-7.156521739130435045e-02
1.807999999999999829e+01,1.168307594700100038e+00,-9.364283375635499423e-03,-7.211108234049279364e-02,1.165490338911820967e+00,-1.226103817310173448e-02,-7.156521739130435045e-02
1.828000000000000114e+01,1.212590460742976051e+00,-1.292520362828230782e-02,-7.351659967264004281e-02,1.205387951015195469e+00,-1.512120398100719361e-02,-7.156521739130435045e-02
1.850000000000000000e+01,1.256534014413786648e+00,-1.701225652854735509e-02,-7.010583882394946786e-02,1.248916970118635561e+00,-1.817987852591450640e-02,-6.895652173913038863e-02
1.867999999999999972e+01,1.291167831304475211e+00,-1.943106825911127683e-02,-6.879496925873208879e-02,1.283381218415391878e+00,-2.054711265122988878e-02,-6.765217391304338690e-02
1.887999999999999901e+01,1.332532990358221925e+00,-2.210764159867623438e-02,-6.500723324873095010e-02,1.323293198709432072e+00,-2.319907826866090747e-02,-6.504347826086945283e-02
1.907999999999999829e+01,1.370735077021942638e+00,-2.317687316847127921e-02,-6.190474838203619684e-02,1.361397396620285027e+00,-2.563228929270685783e-02,-6.243478260869546326e-02
1.930000000000000071e+01,1.414853558718647708e+00,-2.546209671932924551e-02,-5.575456194797118875e-02,1.405317761624420791e+00,-2.827712441483374098e-02,-5.643478260869547181e-02
1.948000000000000043e+01,1.449504564604036982e+00,-2.576264123912683224e-02,-5.172696103901269771e-02,1.441265958263728608e+00,-3.020715356958041803e-02,-5.199999999999983802e-02
1.967999999999999972e+01,1.484526142885204569e+00,-2.826084224754108268e-02,-5.173426444924111856e-02,1.479398771653150257e+00,-3.214079193403450441e-02,-4.939130434782592477e-02
1.987999999999999901e+01,1.522021531336930522e+00,-3.036265574523015764e-02,-4.976978595397210658e-02,1.517536385562182399e+00,-3.397731572711164272e-02,-4.678260869565201846e-02
2.007999999999999829e+01,1.561616059483713181e+00,-3.477179127063873693e-02,-4.321092500680041165e-02,1.555681898898106930e+00,-3.564089756816123805e-02,-4.156521739130421278e-02
2.028000000000000114e+01,1.600429551500482495e+00,-3.898480818568082762e-02,-8.072796783447237778e-03,1.595669109951671327e+00,-3.657294092769202559e-02,-7.652173913043347486e-03
2.048000000000000043e+01,1.638458575530685524e+00,-3.970586036949558251e-02,2.678039620217143382e-03,1.633850532746951023e+00,-3.648685431151526409e-02,2.782608695652299437e-03
2.067999999999999972e+01,1.678863971287965384e+00,-3.828953026975742691e-02,2.254187794821135068e-03,1.673850477699712958e+00,-3.642772391503436291e-02,1.739130434783805774e-04
2.087999999999999901e+01,1.717368522979288992e+00,-3.727974508350662131e-02,-2.482916517398814273e-03,1.712032261999430593e+00,-3.646970017911421724e-02,-2.434782608695538770e-03
