# time,x,y,yaw,truth_x,truth_y,truth_yaw
4.800000000000000377e-01,7.236000000000000765e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.200000000000003619e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000000000488e-01,1.125599999999999656e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.120000000000000717e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.800000000000000044e-01,1.527599999999999236e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.520000000000001072e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.080000000000000071e+00,1.929599999999998816e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.920000000000001428e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000027e+00,2.331599999999998396e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.320000000000001783e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.479999999999999982e+00,2.733599999999998809e-01,-1.354728474004629761e-19,2.775557561562891351e-17,2.720000000000001861e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.680000000000000160e+00,3.135600000000001164e-01,9.803012923478258848e-19,2.775557561562891351e-17,3.120000000000002216e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.879999999999999893e+00,3.537600000000002409e-01,1.032886746602153160e-17,2.775557561562891351e-17,3.520000000000002571e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.080000000000000071e+00,3.939600000000004765e-01,1.144464160576982046e-17,2.775557561562891351e-17,3.920000000000002927e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.280000000000000249e+00,4.341600000000007120e-01,1.514930639859430710e-17,2.775557561562891351e-17,4.320000000000003282e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.479999999999999982e+00,4.743600000000009476e-01,1.691230320161164579e-17,2.775557561562891351e-17,4.720000000000003637e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.680000000000000160e+00,5.145600000000012386e-01,1.802807734135993465e-17,2.775557561562891351e-17,5.120000000000003437e-01,0.000000000000000000e+00,0.000000000000000000e+00
