# time,x,y,yaw,truth_x,truth_y,truth_yaw
8.480000000000000426e+00,2.446022468518806725e-01,-6.666957323145540973e-03,1.483733222967707766e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.679999999999999716e+00,2.446022468518806725e-01,-6.666957323145540973e-03,1.483733222967707766e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.880000000000000782e+00,2.446022468518806725e-01,-6.666957323145540973e-03,1.483733222967707766e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.080000000000000071e+00,2.446022468518806725e-01,-6.666957323145540973e-03,1.644533222967708430e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000033e-02
9.279999999999999361e+00,2.446022468518806725e-01,-6.666957323145540973e-03,2.046533222967708010e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.600000000000002198e-02
9.480000000000000426e+00,2.446022468518806725e-01,-6.666957323145540973e-03,2.448533222967708423e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.600000000000008527e-02
9.679999999999999716e+00,2.033729454261204717e-01,-2.868528073959409827e-02,2.277454041300748799e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.360000000000000930e-01
9.880000000000000782e+00,1.841226267416343765e-01,-2.249466096760063469e-02,2.361347228332421333e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.760000000000000731e-01
1.008000000000000007e+01,1.793100470705128457e-01,-2.094700602460227226e-02,2.683820525090339082e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.160000000000001918e-01
1.027999999999999936e+01,1.529961311894108000e-01,5.969778930197748058e-03,2.801198741272376558e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.560000000000002829e-01
1.048000000000000043e+01,1.089685711263138623e-01,1.735728036174313468e-02,3.082046109134312650e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.960000000000002629e-01
1.067999999999999972e+01,9.796168111053962790e-02,2.020415571962947895e-02,3.453757951099796775e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.360000000000002984e-01
1.088000000000000078e+01,8.114298193619468025e-02,2.255668893796962046e-02,3.805248244772222455e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.760000000000003340e-01
1.108000000000000007e+01,5.938506523441726415e-02,2.845841251157270671e-02,4.091774741880753741e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.080000000000005844e-01
1.127999999999999936e+01,5.394558605897290665e-02,2.993384340497347654e-02,4.083006366157888034e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.080000000000005844e-01
1.148000000000000043e+01,5.394558605897290665e-02,2.993384340497347654e-02,4.083006366157888034e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.080000000000005844e-01
1.167999999999999972e+01,5.394558605897290665e-02,2.993384340497347654e-02,4.083006366157888034e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.080000000000005844e-01
1.188000000000000078e+01,5.394558605897290665e-02,2.993384340497347654e-02,4.083006366157888034e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.080000000000005844e-01
1.208000000000000007e+01,5.394558605897290665e-02,2.993384340497347654e-02,4.083006366157888034e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.080000000000005844e-01
1.227999999999999936e+01,5.394558605897290665e-02,2.993384340497347654e-02,3.952155366157890093e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.949800000000007749e-01
1.248000000000000043e+01,5.394558605897290665e-02,2.993384340497347654e-02,3.618490084882890478e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.617794745000008083e-01
1.267999999999999972e+01,5.394558605897290665e-02,2.993384340497347654e-02,3.083012484688985033e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.084981212468759781e-01
1.288000000000000078e+01,5.394558605897290665e-02,2.993384340497347654e-02,2.480012484688987606e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.484981212468759526e-01
1.308000000000000007e+01,4.386854357337480192e-02,3.416453937044485606e-02,1.853894185360183133e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.884981212468758438e-01
1.327999999999999936e+01,3.925646302395607162e-02,3.776831012135461324e-02,1.251899623050412580e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.284981212468757628e-01
1.348000000000000043e+01,5.343832273797304022e-02,3.689935304964624130e-02,8.634109541104957597e-02,1.086643421094648891e-02,9.637012755070860793e-04,9.041116472513661961e-02
1.367999999999999972e+01,8.899153848245280884e-02,4.079655341165108751e-02,7.705989414365084500e-02,4.998930181931898753e-02,4.388023370799335257e-03,8.154159950774531040e-02
1.388000000000000078e+01,1.272661992929267905e-01,4.353452418648265376e-02,6.499989414365080209e-02,8.806087049807226341e-02,7.284096557303541310e-03,6.954159950774529975e-02
1.408000000000000007e+01,1.667930844962839942e-01,4.464709144404537672e-02,5.077682569026788217e-02,1.261666894595929456e-01,9.687515965718318522e-03,5.649812124687569187e-02
1.427999999999999936e+01,1.988006799760345666e-01,4.369067732164635953e-02,3.824179722035093987e-02,1.650266801142999673e-01,1.163620264013184337e-02,4.345464298600609787e-02
1.448000000000000043e+01,2.364832503771396033e-01,4.433785102353883512e-02,2.947130097243688684e-02,2.042701368592446665e-01,1.314926771561106093e-02,3.458507776861479560e-02
1.467999999999999972e+01,2.772235842916943582e-01,4.484434982056712676e-02,2.041021640281914101e-02,2.442512208292361431e-01,1.437595359616563456e-02,2.675899081209306973e-02
1.488000000000000078e+01,3.142442792701256593e-01,4.523210646369564547e-02,1.330245928226725730e-02,2.824229906854950345e-01,1.524746394593385311e-02,1.893290385557132305e-02
1.508000000000000007e+01,3.541056303464044652e-01,4.555543253266669534e-02,5.626606958651010279e-03,3.224183767783992405e-01,1.584823423863203004e-02,1.110681689904957810e-02
1.530000000000000071e+01,3.917123691347216830e-01,4.811357046070366406e-02,6.039955554739059873e-04,3.649622828317050094e-01,1.620565959818054055e-02,5.106816899049572769e-03
1.548000000000000043e+01,4.259959077266102234e-01,4.602402123678817070e-02,-2.509066323904262253e-03,4.005984279281269989e-01,1.632779000334574904e-02,2.237251681658263686e-03
